block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,ok,error
19807137,712,29981386,specfence,1,2,35.933412,19814.42786451785,0,0,0,706,35,0,0,12,6411,35,5228,35,0.30769230769230765,0,606,3581,0,0,0,0,0,0,0,true,
19807137,712,29981386,specfence,2,0,37.281402,19097.99422242758,216,0.30337078651685395,194,918,35,14694,42264,26,8985,252,7209,35,0.3153000845308536,6,1768,4166,463,0,217,0,0,216,0,true,
19807137,712,29981386,specfence,2,1,31.527714,22583.30559583229,119,0.16713483146067415,130,825,35,8193,30942,12,8054,154,6782,35,0.30769230769230765,10,1379,3961,287,0,119,0,0,119,0,true,
19807137,712,29981386,specfence,2,2,30.539951,23313.724373690056,148,0.20786516853932585,159,854,35,6709,33184,12,8292,183,7020,35,0.30769230769230765,3,1403,4059,314,0,148,0,0,148,0,true,
19807137,712,29981386,specfence,4,0,53.836192,13225.303899651744,579,0.8132022471910112,871,1279,35,117719,26267,33,15298,614,17744,35,0.3151848151848152,20,4733,5749,1261,0,581,0,0,579,0,true,
19807137,712,29981386,specfence,4,1,42.83688,16621.191832831897,505,0.7092696629213483,621,1207,35,101173,23436,22,13444,540,16907,35,0.31218781218781205,13,4092,5000,1095,0,505,0,0,505,0,true,
19807137,712,29981386,specfence,4,2,52.425606,13581.149638976038,582,0.8174157303370787,846,1281,35,116756,22797,36,15163,618,18105,35,0.3131868131868133,19,4683,5683,1271,0,583,0,0,582,0,true,
19807137,712,29981386,specfence,8,0,101.356677,7024.697544099635,1810,2.542134831460674,1044,2508,36,350864,15788,36,25265,1847,146964,36,0.3210622710622712,31,10518,6071,3779,0,1815,0,0,1810,0,true,
19807137,712,29981386,specfence,8,1,103.59027,6873.232399143279,1816,2.550561797752809,1522,2513,36,373095,12694,41,27563,1854,143437,36,0.312516751541142,20,10814,7590,3746,0,1822,0,0,1816,0,true,
19807137,712,29981386,specfence,8,2,105.629182,6740.561523992489,1966,2.7612359550561796,1220,2665,36,417169,15955,34,27265,2003,182793,36,0.30769230769230776,23,11064,6875,4065,0,1970,0,0,1966,0,true,
