block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,cost_chose_wait,cost_chose_spec,cost_chose_bind,mean_p_at_wait,mean_p_at_spec,evm_entries,resume_count,rebind_only,rewind_to_cp,full_restart,tx_head_reexec,absolute_jump_applied,absolute_jump_fallback,prior_bind_hits,prior_bind_miss,journal_ff_entries,journal_ff_hits,prefix_opcodes_skipped,ready_steal_on_wait,lean_mode_txs,full_mode_txs,engagement_switches,inspector_steps,inspector_steps_resume,ok,error
13217637,1100,29985362,pcc,2,1,8.378737000000001,131284.70317185036,1,0.0009090909090909091,820,87,19,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,2,2,10.638262000000001,103400.34866597569,2,0.0018181818181818182,933,88,20,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1102,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,4,0,9.320912,118014.20290203362,3,0.0027272727272727275,967,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1105,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,4,1,9.063175,121370.27035227722,3,0.0027272727272727275,941,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1105,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,4,2,8.19331,134255.87460989514,3,0.0027272727272727275,952,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1105,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,8,0,9.734183,113003.8340146266,5,0.004545454545454545,983,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1108,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,8,1,9.398409,117041.08642218061,4,0.0036363636363636364,964,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1107,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,8,2,8.804069,124942.2284173375,5,0.004545454545454545,986,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1110,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,sequential,1,0,8.017039,137207.76461234628,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,sequential,1,1,6.3772899999999995,172487.0595503733,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,sequential,1,2,6.300907,174578.04090744397,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,specfence,1,0,123.189122,8929.359850458224,0,0.0,0,139,36,0,0,1922,2474,36,2680,36,0.3076923076923101,1028,0,2267,0,0,0,0,0,0,0,0,2264,1028,0.3076923076923101,0.09871506585287212,1100,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,1100,0,338475,0,True,
13217637,1100,29985362,specfence,1,1,106.547794,10324.005394236505,0,0.0,0,139,36,0,0,1922,2474,36,2680,36,0.3076923076923101,1028,0,2267,0,0,0,0,0,0,0,0,2264,1028,0.3076923076923101,0.09871506585287212,1100,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,1100,0,338475,0,True,
13217637,1100,29985362,specfence,1,2,109.009912,10090.825502180021,0,0.0,0,139,36,0,0,1922,2474,36,2680,36,0.3076923076923101,1028,0,2267,0,0,0,0,0,0,0,0,2264,1028,0.3076923076923101,0.09871506585287212,1100,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,1100,0,338475,0,True,
13217637,1100,29985362,specfence,2,0,64.979024,16928.53989311997,2,0.0018181818181818182,845,139,40,0,1132,2772,3322,38,7798,40,0.30769230769229594,1030,17,2274,4,0,5,7,0,2,0,0,2272,1029,0.30769230769229594,0.09884763124199454,1103,2,0,2,0,0,0,2,1030,5,4,4,361,2,0,1105,0,343928,47899,True,
13217637,1100,29985362,specfence,2,1,60.643633,18138.75497861416,2,0.0018181818181818182,815,139,40,0,1132,2741,3295,38,7275,40,0.30769230769229633,1030,16,2273,4,0,5,7,0,2,0,0,2270,1030,0.30769230769229633,0.09885863035642481,1102,2,0,2,0,0,0,2,1030,5,4,4,361,1,0,1104,0,343928,47899,True,
13217637,1100,29985362,specfence,2,2,60.109253,18300.011148034064,2,0.0018181818181818182,825,139,40,0,1132,2752,3303,38,7184,40,0.30769230769229616,1030,17,2274,4,0,5,7,0,2,0,0,2272,1029,0.30769230769229616,0.09885163252240427,1103,2,0,2,0,0,0,2,1030,5,4,4,361,3,0,1105,0,343928,47899,True,
13217637,1100,29985362,specfence,4,0,55.819655000000004,19706.320291660704,6,0.005454545454545455,913,141,45,27,4101,2844,3405,47,19884,45,0.30769230769229516,1036,64,2331,25,0,14,11,0,6,0,0,2327,1032,0.30769230769229516,0.09890416845723811,1105,6,0,6,0,0,0,6,1036,14,12,12,1109,4,0,1111,0,388321,70162,True,
13217637,1100,29985362,specfence,4,1,54.170062,20306.419438840592,6,0.005454545454545455,928,142,45,841,3287,2854,3418,49,16511,45,0.30769230769229505,1037,66,2332,25,0,16,11,0,6,0,0,2330,1033,0.30769230769229505,0.0989328911431886,1106,6,0,6,0,0,0,6,1037,16,12,12,1109,3,0,1112,0,388321,70162,True,
13217637,1100,29985362,specfence,4,2,46.224132000000004,23797.0936912347,5,0.004545454545454545,934,138,45,814,3288,2872,3412,48,16772,45,0.30769230769229483,1034,62,2336,23,0,15,11,0,5,0,0,2332,1032,0.30769230769229483,0.09896564270491932,1108,5,0,5,0,0,0,5,1034,15,11,11,1108,8,0,1113,0,388166,70007,True,
13217637,1100,29985362,specfence,8,0,45.027112,24429.725806087674,8,0.007272727272727273,960,142,46,841,4457,2887,3468,51,27459,46,0.30769230769229466,1059,96,2368,33,0,18,12,0,8,0,0,2375,1044,0.30769230769229466,0.09893397129186304,1124,8,0,8,0,0,0,8,1059,18,22,22,3706,11,0,1132,0,414585,75932,True,
13217637,1100,29985362,specfence,8,1,42.106585,26124.179864028392,10,0.00909090909090909,951,139,45,940,4479,2893,3453,53,30353,45,0.3078370298902488,1044,105,2341,42,0,20,11,0,10,0,0,2341,1037,0.3078370298902488,0.0990857397496059,1116,10,0,10,0,0,0,10,1044,20,41,35,7203,9,0,1126,0,397101,78942,True,
13217637,1100,29985362,specfence,8,2,48.106372,22865.993719085694,10,0.00909090909090909,945,139,45,841,4562,2890,3440,53,31993,45,0.30782919502641404,1041,138,2336,55,0,20,11,0,10,0,0,2334,1036,0.30782919502641404,0.09925327457460846,1110,10,0,10,0,0,0,10,1041,20,45,40,8223,8,0,1120,0,404358,86199,True,
14029313,724,30074554,occ,1,0,10.525022,68788.45478897811,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,1,1,10.43449,69385.27901219897,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,1,2,9.010769999999999,80348.29431890948,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,2,0,6.607672999999999,109569.58675164465,2,0.0027624309392265192,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,976,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,2,1,5.2589500000000005,137670.06721874137,3,0.004143646408839779,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,981,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,2,2,5.797090000000001,124890.24665823714,3,0.004143646408839779,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,966,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,4,0,5.108338,141729.0711773575,10,0.013812154696132596,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1424,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,4,1,3.385378,213860.9041590038,9,0.012430939226519336,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1246,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,4,2,3.712679,195007.43263826473,10,0.013812154696132596,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1183,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,8,0,3.0063009999999997,240827.51527541655,15,0.020718232044198894,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1266,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,8,1,2.7803530000000003,260398.58967548364,23,0.031767955801104975,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1376,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,occ,8,2,2.9629830000000004,244348.34759429938,13,0.017955801104972375,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1388,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,1,0,9.222595,78502.85087873858,0,0.0,0,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,1,1,8.771101,82543.79923341436,0,0.0,0,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,1,2,10.292347,70343.52806021794,0,0.0,0,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,2,0,7.263216,99680.36197739403,0,0.0,162,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,2,1,6.746836,107309.55962172491,0,0.0,144,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,2,2,6.130198,118103.85243674021,0,0.0,148,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,4,0,5.097592,142027.84373484578,0,0.0,309,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,4,1,4.1998560000000005,172386.86278767654,0,0.0,312,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,4,2,4.474198,161816.70994444142,0,0.0,317,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,8,0,4.283045,169038.61621813453,1,0.0013812154696132596,424,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,8,1,3.940596,183728.55273669263,1,0.0013812154696132596,425,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,pcc,8,2,4.148350000000001,174527.2216664457,1,0.0013812154696132596,386,159,21,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,sequential,1,0,7.650645,94632.54405347523,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,sequential,1,1,6.433173,112541.66489848788,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,sequential,1,2,5.83388,124102.65552256818,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,
14029313,724,30074554,specfence,1,0,144.74193799999998,5002.0057075648665,0,0.0,0,433,55,0,0,586,2310,55,3900,55,0.3076923076923108,389,0,2857,0,0,0,0,0,0,0,0,2857,389,0.3076923076923108,0.09828099796598087,724,0,0,0,0,0,0,0,389,0,0,0,0,0,0,724,0,412556,0,True,
