block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,cost_chose_wait,cost_chose_spec,cost_chose_bind,mean_p_at_wait,mean_p_at_spec,evm_entries,resume_count,rebind_only,rewind_to_cp,full_restart,tx_head_reexec,absolute_jump_applied,absolute_jump_fallback,prior_bind_hits,prior_bind_miss,journal_ff_entries,journal_ff_hits,prefix_opcodes_skipped,ready_steal_on_wait,lean_mode_txs,full_mode_txs,engagement_switches,hot_local_reads,hotset_size,inspector_steps,inspector_steps_resume,ok,error
13217637,1100,29985362,occ,8,0,5.9220619999999995,185746.11343143656,7,0.006363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,8,1,3.9607289999999997,277726.65082614846,9,0.008181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,specfence,8,0,31.985073000000003,34391.04234653458,7,0.006363636363636364,938,144,41,1169,3413,2849,13,46,26955,41,0.3076923076922951,960,1,2444,3,0,13,8,0,0,0,0,1,959,0.3076923076922951,0.16666666666666666,1114,0,0,0,7,0,0,0,960,0,0,0,0,5,1114,0,0,960,16,0,0,true,
13217637,1100,29985362,specfence,8,1,33.932796,32417.016269452124,4,0.0036363636363636364,933,143,41,0,3289,2837,7,43,26968,41,0.3076923076922952,951,0,2508,0,0,10,8,0,0,0,0,0,951,0.3076923076922952,0,1135,0,0,0,4,0,0,0,951,0,0,0,0,10,1135,0,0,951,15,0,0,true,
19807137,712,29981386,occ,8,0,2788.852533,255.30213289337806,566,0.7949438202247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
19807137,712,29981386,occ,8,1,11.769313,60496.30934277982,670,0.9410112359550562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4164,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
19807137,712,29981386,specfence,8,0,82.90686,8587.950381910496,942,1.3230337078651686,1459,1645,35,220603,8874,20,2420,981,20324,35,0.9485834582093694,1918,1461,13352,924,0,953,0,0,0,0,1100,4037,1539,0.9485834582093694,0.16656206404040644,3560,0,0,0,942,0,0,0,1918,0,0,0,0,762,3560,0,1,6676,1017,0,0,true,
19807137,712,29981386,specfence,8,1,76.72739100000001,9279.606548852938,896,1.2584269662921348,1816,1597,36,209452,8329,24,2410,934,20181,36,0.9064164874276486,1524,1837,12557,876,0,899,0,0,0,0,1800,3273,1499,0.9064164874276486,0.1007674931968568,3462,0,0,0,896,0,0,0,1524,0,0,0,0,820,3462,0,1,6572,1118,0,0,true,
