block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,cost_chose_wait,cost_chose_spec,cost_chose_bind,mean_p_at_wait,mean_p_at_spec,evm_entries,resume_count,rebind_only,rewind_to_cp,full_restart,tx_head_reexec,absolute_jump_applied,absolute_jump_fallback,prior_bind_hits,prior_bind_miss,journal_ff_entries,journal_ff_hits,prefix_opcodes_skipped,ready_steal_on_wait,lean_mode_txs,full_mode_txs,engagement_switches,hot_local_reads,hotset_size,inspector_steps,inspector_steps_resume,ok,error
19807137,712,29981386,specfence,2,1,56.010304,12711.946716089955,281,0.3946629213483146,847,993,36,45056,30004,0,629,316,6551,36,0.9022828625514839,874,856,7102,174,0,281,0,0,0,0,841,776,849,0.9022828625514839,0.10924848291065,1856,0,0,0,281,0,0,0,874,0,0,0,0,471,1856,0,1,2466,488,0,0,true,
19807137,712,29981386,specfence,2,2,59.565101000000006,11953.308028471234,325,0.45646067415730335,895,1037,36,59043,29390,0,771,360,6311,36,0.9074420440480377,908,902,7362,228,0,325,0,0,0,0,893,940,895,0.9074420440480377,0.10343449896501278,1938,0,0,0,325,0,0,0,908,0,0,0,0,475,1938,0,1,2728,602,0,0,true,
19807137,712,29981386,specfence,4,0,74.571557,9547.876276741816,591,0.8300561797752809,1903,1301,35,159366,10379,4,1680,627,7829,35,0.9259473705400556,1165,1921,11623,572,0,592,0,0,0,0,1913,2257,1160,0.9259473705400556,0.09996008216456623,3233,0,0,0,591,0,0,0,1165,0,0,0,0,1022,3233,0,1,5330,1130,0,0,true,
19807137,712,29981386,specfence,4,1,73.08965,9741.4613423378,577,0.8103932584269663,1459,1288,35,156189,8201,3,1679,615,8113,35,0.9167898100064282,1172,1468,10235,560,0,581,0,0,0,0,1448,2254,1158,0.9167898100064282,0.10169816782547966,2770,0,0,0,577,0,0,0,1172,0,0,0,0,598,2770,0,1,4860,1118,0,0,true,
19807137,712,29981386,specfence,4,2,73.759931,9652.937446484324,590,0.8286516853932584,1521,1297,35,160669,7741,14,1685,627,7796,35,0.9143468069789038,1180,1533,10407,576,0,593,0,0,0,0,1519,2286,1168,0.9143468069789038,0.10100774177217478,2841,0,0,0,590,0,0,0,1180,0,0,0,0,652,2841,0,1,4973,1149,0,0,true,
19807137,712,29981386,specfence,8,0,75.318867,9453.142729828902,887,1.2457865168539326,1866,1598,36,204454,5402,3,2278,924,18733,36,0.9003226257417647,1531,1880,12654,1690,0,891,0,0,0,0,1823,3122,1474,0.9003226257417647,0.10839251493206203,3530,0,0,0,887,0,0,0,1531,0,0,0,0,841,3530,0,1,6419,977,0,0,true,
19807137,712,29981386,specfence,8,1,69.419021,10256.554900133207,950,1.3342696629213484,2081,1660,36,217645,8149,5,2488,989,19453,36,0.9138165590427128,1575,2105,13496,946,0,956,0,0,0,0,2058,3265,1536,0.9138165590427128,0.10015601990018454,3806,0,0,0,950,0,0,0,1575,0,0,0,0,1074,3806,0,1,6859,1093,0,0,true,
19807137,712,29981386,specfence,8,2,72.851111,9773.358157846076,928,1.303370786516854,1845,1636,36,220804,9093,12,2446,967,19381,36,0.9021233203614982,1538,1871,12711,905,0,932,0,0,0,0,1849,3271,1510,0.9021233203614982,0.09982849989301101,3532,0,0,0,928,0,0,0,1538,0,0,0,0,843,3532,0,1,6630,1099,0,0,true,
14683600,660,30021734,occ,1,0,20.125574,32794.09571125772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14683600,660,30021734,occ,1,1,18.008553,36649.25216368023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
