seg,block,n_tx,occ1_tps,occ8_tps,occ8_abort,n_raw_effect,n_prog,n_hand,n_final_rw,unique_pcl,mean_eff_per_pcl,depth_p10,depth_p50,depth_p90,frac_lt_1pct,gas_p10,gas_p50,gas_p90,frac_gas_lt_1pct,gw_p10,gw_p50,gw_p90,frac_gw_lt_1pct,opcode_p50,journal_reads,journal_cross,acct_grain,redo_saved,wait_added,eff_prog_path,final_rw_chain,fanout
A,14689597,564,7912.6,22734.7,0.0922,647,605,42,449,592,1.093,0.85714,0.85714,0.85714,0.0000,0.10396,0.10638,0.15693,0.0000,0.94126,0.94272,0.94276,0.0000,0.77165,2497,605,1073,426.71,107.68,27,29,448
A,14689599,43,31230.3,40087.9,0.0000,1,0,1,0,1,1.000,0.00000,0.00000,0.00000,0.0000,0.00000,0.00000,0.00000,0.0000,0.00000,0.00000,0.00000,0.0000,0.00000,110,0,68,0.00,0.00,1,2,0
B,19606598,91,4517.3,8183.4,0.1209,44,32,12,3,27,1.630,0.05634,0.36364,0.83333,0.0000,0.11587,0.31803,0.79902,0.0000,0.35207,0.53878,0.92822,0.0000,0.28196,833,32,83,6.86,1.37,3,6,6
B,19606599,367,1197.6,2094.0,0.2316,584,439,145,42,323,1.808,0.05797,0.36364,0.56000,0.0000,0.09639,0.23174,0.43145,0.0000,0.13845,0.38127,0.76042,0.0000,0.20512,6009,471,909,38.38,7.21,26,57,14
C,19469096,250,5966.5,12631.4,0.4080,232,213,19,6,193,1.202,0.80000,0.83333,0.83333,0.0000,0.34368,0.34368,0.34382,0.0000,0.61058,0.92529,0.92529,0.0000,0.71000,1460,213,311,133.91,4.38,132,132,12
C,19469097,336,1473.0,2190.2,0.3065,410,341,69,28,263,1.559,0.08696,0.80000,0.83333,0.0000,0.11188,0.34368,0.54918,0.0000,0.18574,0.61070,0.92529,0.0000,0.71000,3491,355,567,87.68,5.69,47,47,6
