block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,ok,error
19807137,712,29981386,specfence,2,0,32.2663,22066.36645664362,165,0.23174157303370788,193,871,35,6115,31899,12,8633,200,7310,35,0.30769230769230765,3,967,4754,165,165,165,0,0,True,
19807137,712,29981386,specfence,2,1,31.797024,22392.032663182566,153,0.2148876404494382,186,857,35,4883,39397,19,8552,188,7272,35,0.3181029496818969,3,950,4742,153,153,153,0,0,True,
19807137,712,29981386,specfence,2,2,27.268123,26111.0748253556,119,0.16713483146067415,128,824,35,3607,22323,15,7943,154,7104,35,0.3241758241758241,3,853,4382,119,119,119,0,0,True,
19807137,712,29981386,specfence,4,0,39.160875999999995,18181.41146791507,465,0.6530898876404494,745,1165,35,91340,18959,35,13810,502,13405,35,0.324646781789639,3,1834,7645,465,465,467,0,0,True,
19807137,712,29981386,specfence,4,1,42.105208,16910.02215212902,449,0.6306179775280899,948,1151,35,89524,21148,25,14677,484,18039,35,0.31956043956043945,3,2011,8154,449,449,449,0,0,True,
19807137,712,29981386,specfence,4,2,38.142376999999996,18666.90164590424,495,0.6952247191011236,710,1194,35,97729,22167,37,13833,531,14700,35,0.3237303237303239,3,1826,7612,495,495,496,0,0,True,
19807137,712,29981386,specfence,8,0,89.24333800000001,7978.186562228319,1700,2.3876404494382024,1330,2401,36,354007,12809,27,25571,1736,125969,36,0.3076923076923076,3,3656,13282,1785,1700,1706,0,0,True,
19807137,712,29981386,specfence,8,1,89.61124099999999,7945.431756714541,1954,2.74438202247191,1183,2654,35,394576,9241,39,26608,1991,130423,35,0.31496196111580743,3,3767,13608,1955,1954,1959,0,0,True,
19807137,712,29981386,specfence,8,2,115.98696699999999,6138.620729689397,1962,2.75561797752809,1853,2661,36,432205,21339,35,30265,1998,204445,36,0.3105180533751963,4,4445,15901,2194,1962,1965,0,0,True,
14683600,660,30021734,sequential,1,0,15.241646,43302.40972661352,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,sequential,1,1,15.040972,43880.14285246991,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,sequential,1,2,14.216048,46426.40486301116,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,1,0,20.106037999999998,32825.96004245093,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,1,1,18.624799,35436.62404088226,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,1,2,17.254358,38251.205869265024,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,2,0,11.811576,55877.386726377576,21,0.031818181818181815,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,2,1,12.430079000000001,53097.00766986276,22,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,2,2,11.174434,59063.39417280553,22,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,4,0,7.447322,88622.46053010733,50,0.07575757575757576,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,4,1,7.129034,92579.16289920906,50,0.07575757575757576,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,4,2,7.283048,90621.3991724344,52,0.07878787878787878,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,8,0,10.167779,64910.930892577424,83,0.12575757575757576,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,8,1,6.403988,103060.7802513059,75,0.11363636363636363,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,occ,8,2,6.9188,95392.26455454703,72,0.10909090909090909,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,1,0,19.672711,33549.01111493988,0,0.0,0,313,70,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,1,1,19.07989,34591.39439483142,0,0.0,0,313,70,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,1,2,22.046243999999998,29937.072274079885,0,0.0,0,313,70,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,2,0,11.522436,57279.55442755334,4,0.006060606060606061,132,317,72,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,2,1,11.381611999999999,57988.270905738136,4,0.006060606060606061,134,317,72,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,2,2,11.484407000000001,57469.22762315895,6,0.00909090909090909,140,319,72,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,4,0,7.734684000000001,85329.92427357084,12,0.01818181818181818,208,322,73,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,4,1,7.604846,86786.7672797056,14,0.021212121212121213,197,321,73,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,4,2,7.704618,85662.91021826131,9,0.013636363636363636,209,320,73,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,8,0,7.935731,83168.14166205988,21,0.031818181818181815,286,327,74,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,8,1,6.6432139999999995,99349.50161171987,19,0.02878787878787879,302,326,74,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,pcc,8,2,6.966173,94743.5557514865,19,0.02878787878787879,300,326,74,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14683600,660,30021734,specfence,1,0,32.134274999999995,20538.817197525073,0,0.0,0,450,106,0,0,420,5284,106,4150,106,0.3076923076923069,0,350,3544,0,0,0,0,0,True,
14683600,660,30021734,specfence,1,1,33.686281,19592.545701319774,0,0.0,0,450,106,0,0,420,5284,106,4150,106,0.3076923076923069,0,350,3544,0,0,0,0,0,True,
14683600,660,30021734,specfence,1,2,31.052808000000002,21254.11653593453,0,0.0,0,450,106,0,0,420,5284,106,4150,106,0.3076923076923069,0,350,3544,0,0,0,0,0,True,
14683600,660,30021734,specfence,2,0,22.932605,28779.983782915202,14,0.021212121212121213,128,459,125,0,4771,549,5840,164,5948,125,0.3082327508557042,10,393,4007,14,14,50,10,0,True,
14683600,660,30021734,specfence,2,1,20.510264,32179.010470074885,8,0.012121212121212121,122,454,113,0,2761,547,5635,119,5699,113,0.30877714607148127,16,366,3835,8,8,17,11,0,True,
14683600,660,30021734,specfence,2,2,21.842334,30216.55103341978,18,0.02727272727272727,122,463,125,350,5439,546,5853,173,6029,125,0.3082357203236349,22,393,3999,18,18,59,11,0,True,
14683600,660,30021734,specfence,4,0,18.544564,35589.94430928654,38,0.05757575757575758,188,476,130,5755,7927,583,6719,193,11519,130,0.30910221853618386,39,467,4681,38,38,80,14,0,True,
14683600,660,30021734,specfence,4,1,17.211685,38346.04223816552,33,0.05,173,471,118,3627,7683,597,6492,144,11120,118,0.3128727558515849,50,466,4504,33,33,43,15,0,True,
14683600,660,30021734,specfence,4,2,16.679591000000002,39569.315578541464,36,0.05454545454545454,168,470,131,3716,7995,612,6446,193,10426,131,0.3127457840829755,39,461,4470,36,36,80,15,0,True,
14683600,660,30021734,specfence,8,0,15.424474,42789.14146440261,67,0.10151515151515152,248,493,119,11704,10729,664,7354,177,19424,119,0.31835242856727375,34,571,5140,68,67,78,17,0,True,
14683600,660,30021734,specfence,8,1,15.754305,41893.31106640375,50,0.07575757575757576,232,479,120,9285,8225,654,6964,165,21602,120,0.31702183620339514,32,515,4852,56,50,65,18,0,True,
14683600,660,30021734,specfence,8,2,16.102407999999997,40987.65849182309,59,0.0893939393939394,242,488,142,9766,10442,652,7288,186,19587,142,0.3157274823034677,29,565,5116,60,59,77,29,0,True,
13217637,1100,29985362,sequential,1,0,7.314785,150380.3597781753,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,sequential,1,1,6.802672,161701.1668356199,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,sequential,1,2,6.82576,161154.21579428518,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,1,0,10.982909000000001,100155.6145097806,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,1,1,9.94045,110658.97419130924,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,1,2,10.152556,108347.0999815219,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,2,0,6.865759,160215.35273813136,2,0.0018181818181818182,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,2,1,6.9930959999999995,157297.99791108258,1,0.0009090909090909091,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,2,2,6.319125,174074.7334480644,2,0.0018181818181818182,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,4,0,4.911497,223964.30253342312,4,0.0036363636363636364,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,4,1,4.988938,220487.80722470392,4,0.0036363636363636364,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,4,2,4.608435999999999,238692.69313927763,5,0.004545454545454545,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,8,0,4.142642,265531.03068042087,10,0.00909090909090909,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,8,1,4.1102300000000005,267624.92609902605,8,0.007272727272727273,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,occ,8,2,5.36747,204938.2670047527,5,0.004545454545454545,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,1,0,11.111151,98999.64459127592,0,0.0,0,86,19,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,1,1,11.127283,98856.11788610031,0,0.0,0,86,19,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,1,2,11.173722,98445.26291239391,0,0.0,0,86,19,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,2,0,8.469884,129871.90851728311,1,0.0009090909090909091,862,87,20,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,2,1,8.549520999999999,128662.17885189125,2,0.0018181818181818182,866,88,20,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,2,2,8.621575,127586.896825696,2,0.0018181818181818182,839,88,20,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,4,0,11.113217,98981.24008556658,4,0.0036363636363636364,959,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,4,1,10.521628999999999,104546.54882813299,3,0.0027272727272727275,951,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,4,2,8.214571000000001,133908.39278155853,4,0.0036363636363636364,950,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,8,0,8.831790000000002,124550.06289778175,4,0.0036363636363636364,975,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,8,1,9.917626,110913.64001828663,5,0.004545454545454545,984,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,pcc,8,2,8.936279,123093.73957549893,5,0.004545454545454545,981,89,23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
13217637,1100,29985362,specfence,1,0,20.613107,53364.10469319351,0,0.0,0,139,36,0,0,1922,4789,36,2680,36,0.3076923076923101,0,977,2318,0,0,0,0,0,True,
13217637,1100,29985362,specfence,1,1,20.537568999999998,53560.38000407936,0,0.0,0,139,36,0,0,1922,4789,36,2680,36,0.3076923076923101,0,977,2318,0,0,0,0,0,True,
13217637,1100,29985362,specfence,1,2,20.167835,54542.29469846417,0,0.0,0,139,36,0,0,1922,4789,36,2680,36,0.3076923076923101,0,977,2318,0,0,0,0,0,True,
13217637,1100,29985362,specfence,2,0,16.699192,65871.45054682884,1,0.0009090909090909091,857,137,40,0,1098,2785,5668,37,11756,40,0.30769230769229583,0,978,2339,1,1,4,7,0,True,
